Frame Name;Identifier (hex);Period (ms);Size (Bytes);Frame Load (%); Frame Load FD(%); Latency (ms);4WD;4WS;ACU;ADAS;ADB;ANC;ATCU;ATCU_eDCT;AUDIOamp;AVM;BCM;BMS_12V;BSG;BSWL;BSWR;CPLC;DOP_RES;DOP_SECU;DOP_TCU;DSMU;DSU;DTOOL;EBA;ECM;EPKB;EPS;ESCL;EVAP;FrCamera;HECM;HEVC;HFM;HUD;HVAC;IDM;IVI;MagicFolding;MBL;METER;PBD;PSCU;RADAR;SceneRecorder;SCU;SONAR;TCU;USM;VADA;VDC;VSP;GW;;fixed routing
Connector number;;;;;;;1;1;1;2;2;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;1;1;1;1;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;8;;FD?
Connector FD number;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Max Frames Bridge;;;;;;;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
4WD_0;?;10;5;1.888;0.998;0;T;;;R;;;R;R;;;;;;;;;;;;;;;;R;;;;;;;R;;;;;;;;R;;;;;;;;;;R;;;;0
4WD_1;?;100;2;0.136;0.0866;0;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;0
4WD_2;?;1000;1;0.01184;0.00822;0;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;0
FWS_R3;?;10;3;1.536;0.91;0;;T;;R;;;;;;;;;;R;R;;;;;;;;;;;;;;R;;;;;;;R;;;;;;R;;;R;;;R;R;;;;0
FWS_A2;?;200;2;0.068;0.0433;0;;T;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;0
ACU_12;?;4;1;2.96;2.055;0;;;T;R;;;;;;;R;R;;;;;;;R;;;;;R;;;;;R;;R;R;;R;;R;;;R;;;R;;;;R;;;;;;;0
ACU_13;?;100;6;0.2064;0.1042;0;;;T;R;;;;;;;R;R;;;;;;;R;;;;;R;;;;;;;R;;;;;R;R;;R;;;;R;;;R;;;;;;;0
ACU_14;?;0;1;0;0;0;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;0
ACU_15;?;0;1;0;0;0;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;0
ACU_16;?;0;1;0;0;0;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;0
ACU_17;?;0;1;0;0;0;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;0
ACU_18;?;0;1;0;0;0;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;0
ACU_19;?;0;1;0;0;0;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;0
ACU_20;?;0;1;0;0;0;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;0
ACU_21;?;0;1;0;0;0;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;0
ACU_22;?;0;1;0;0;0;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;0
ACU_23;?;0;1;0;0;0;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;0
ACU_24;?;0;1;0;0;0;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;0
ACU_25;?;0;1;0;0;0;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;0
ACU_26;?;0;1;0;0;0;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;0
ACU_27;?;0;1;0;0;0;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;0
ACU_28;?;0;1;0;0;0;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;0
ACU_29;?;0;1;0;0;0;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;0
ACU_30;?;0;1;0;0;0;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;0
ACU_31;?;0;1;0;0;0;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;0
ACU_32;?;0;1;0;0;0;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;0
ADAS_A1;?;10;6;2.064;1.042;0;;;;T;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ADAS_A2;?;10;8;2.416;1.13;0;;;;T;;;R;;;;;;;;;;;;;;;;;R;;;;;R;;R;;;;R;;;;;;;R;;;;;;;;;;;0
ADAS_A3;?;10;8;2.416;1.13;0;;;;T;;;R;;;;;;;;;;;;;;;;;R;;;;;;;R;;;;R;;;;;;;;;;;;;;;;;;0
ADAS_A4;?;10;5;1.888;0.998;0;;;;T;;;R;;;;;;;;;;;;;;;;;R;;;;;;;R;;;;;;;;;;;;;;;;;;R;;;;0
ADAS_A10;?;20;8;1.208;0.565;0;;;;T;;;R;;;;;;;;;;;;;;;;;R;;;;;;;R;;;;R;;;;;;;;;;;;;;;;;;0
ADAS_A11;?;20;5;0.944;0.499;0;;;;T;;;R;;;R;;;;R;R;;;;;;;;;;;;;;R;;;;;;;R;;;R;;;;;;R;;;;;;;;0
ADAS_A12;?;100;8;0.2416;0.113;0;;;R;T;;;R;;;R;;;;R;R;;;;;;;;;R;;;;;R;;R;;R;;;;;;R;;;R;;;R;;;;;;;;0
ADAS_62;?;10;8;2.416;1.13;0;;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;0
ADAS_63;?;20;2;0.68;0.433;0;;;;T;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ADAS_64;?;20;1;0.592;0.411;0;;;;T;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ADAS_65;?;500;8;0.04832;0.0226;0;;;R;T;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;R;;;;;;R;;;;;;R;;;;;;;;0
ADAS_66;?;500;8;0.04832;0.0226;0;;;R;T;;;;;;R;;;;R;R;;;;;;;;;;;;;;R;;;;R;;;R;;;R;;;R;;;;;;;;;;;0
ADAS_67;?;1000;1;0.01184;0.00822;0;;;;T;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;;;;R;;;;;;;;;;;;;;0
ADB_82;?;500;1;0.02368;0.01644;0;;;;;T;;;;;;R;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;0
ANC_85;?;500;1;0.02368;0.01644;0;;;;;;T;;;;;R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ATCU_A1;?;10;8;2.416;1.13;0;;;;;;;T;;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ATCU_A12;?;10;8;2.416;1.13;0;;;;;;;T;;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;R;;;;;;;;;0
ATCU_A13;?;10;7;2.24;1.086;0;;;;;;;T;;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ATCU_A3;?;10;8;2.416;1.13;0;R;;R;R;;;T;;;R;R;;;R;R;;;;;;;;;R;R;;;;R;;;;;;R;R;;;;;;R;R;;R;;R;;R;;;;0
ATCU_A5;?;10;7;2.24;1.086;0;R;;;R;;;T;;;R;R;;;;;;;;;;;;;R;R;;;;;;;;;;R;;;;R;;;;R;R;R;R;;R;R;;;;0
ATCU_A7;?;10;8;2.416;1.13;0;;;;;;;T;;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;R;;;;;;;;;0
ATCU_A11;?;10;8;2.416;1.13;0;;;;;;;T;;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ATCU_95;?;100;8;0.2416;0.113;0;R;;;R;R;;T;;;R;R;;;;;;;;R;;;;;R;;;;;;;;;;;R;R;;R;R;R;;;;;R;R;;;R;R;;;0
ATCU_96;?;1000;5;0.01888;0.00998;0;;;;;;;T;;;;;;;;;;;;;;;;;R;;;;;;;;;;;;R;;;R;;;;;;;;;;;;;;0
ATCU_eDCT_R1;?;10;8;2.416;1.13;0;;;;;;;;T;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;0
ATCU_eDCT_R2;?;10;8;2.416;1.13;0;;;;;;;;T;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;0
ATCU_eDCT_R4;?;10;8;2.416;1.13;0;;;;;;;;T;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;0
ATCU_eDCT_110;?;100;7;0.224;0.1086;0;;;;;;;;T;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;0
ATCU_eDCT_111;?;3000;3;0.00512;0.00303333;0;;;;;;;;T;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;0
AUDIOamp_118;?;200;2;0.068;0.0433;0;;;;;;;;;T;;R;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;;;R;;;;;;;;0
AVM_A4;?;10;8;2.416;1.13;0;;;;R;;;;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
AVM_A8;?;10;4;1.712;0.954;0;;;;R;;;R;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;;0
AVM_A5;?;100;8;0.2416;0.113;0;;;;R;;;;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
AVM_124;?;100;8;0.2416;0.113;0;;;;R;;;;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
AVM_125;?;100;8;0.2416;0.113;0;;;;R;;;;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;0
AVM_126;?;500;6;0.04128;0.02084;0;;;;R;;;;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;R;;;;;;R;;;;;;;;0
BCM_A4;?;10;7;2.24;1.086;0;;R;;R;R;R;R;R;R;R;T;;;R;R;R;R;R;R;R;R;;;R;R;R;;;R;;R;R;R;R;R;R;R;;R;R;R;R;R;;R;R;R;R;R;;R;;0
BCM_A7;?;10;8;2.416;1.13;0;R;R;R;R;R;R;R;R;R;R;T;R;;R;R;R;R;R;R;R;R;;R;R;R;R;;R;R;;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;;0
BCM_136;?;100;8;0.2416;0.113;0;;;;;;;R;R;;;T;;;;;;;;R;;;;;R;;R;;;;;R;R;;;;R;;;R;;;;;;;R;R;;R;;R;;0
BCM_137;?;100;8;0.2416;0.113;0;;;;;;;R;;;;T;;;;;;;;R;;;;;R;;;;;;;R;R;;R;;R;;;R;R;;;;;;R;R;;;;;;0
BCM_138;?;100;8;0.2416;0.113;0;;;;;R;;R;;;;T;;;;;;;;R;;;;;R;R;;;;;;R;R;;;;R;;;R;;;;;;;R;;;;;R;;0
BCM_139;?;100;8;0.2416;0.113;0;;;;R;R;;R;;;R;T;;;;;;R;;R;;;;;R;R;;;;;;R;R;;R;;R;;;R;R;;;R;;R;R;R;;R;;;;0
BCM_140;?;200;7;0.112;0.0543;0;;;;;R;;;;;;T;;;;;;;;;;;;;;;;;;;;R;;;R;;R;;;R;;;;;;;R;;;;;;;0
BCM_141;?;1000;8;0.02416;0.0113;0;;;;;;;;;;;T;;;;;;R;;R;;;;;;;;;;;;R;;;;;R;;;R;;;;;;;R;;;;;;;0
BCM_142;?;3000;8;0.00805333;0.00376667;0;;;;;R;;;;;;T;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;;;;R;;;;;;;0
BCM_143;?;3000;8;0.00805333;0.00376667;0;;;;;;;;;;;T;;;;;;;;;;;;;;;;;;;;;;;;;R;;;R;;;;;;;R;;;;;;;0
BCM_144;?;3000;8;0.00805333;0.00376667;0;;;;;;;;;;;T;;;;;;;;;;;;;;;;;;;;;;;;;R;;;R;;;;;;;R;;;;;;;0
BCM_145;?;3000;8;0.00805333;0.00376667;0;;;;;;;;;;;T;;;;;;;;;;;;;;;;;;;;R;;;;;R;;;R;;;;;;;R;;;;;;;0
BCM_146;?;3000;4;0.00570667;0.00318;0;;;;;;;;;;;T;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;;;;R;;;;;;;0
BMS_12V_161;?;100;7;0.224;0.1086;0;;;;;;;;;;;R;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;0
BMS_12V_162;?;1000;3;0.01536;0.0091;0;;;;;;;;;;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;0
BSG_166;?;20;4;0.856;0.477;0;;;;;;;;;;;;;T;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
BSWL_169;?;50;8;0.4832;0.226;0;;;;;;;;;;;;;;T;R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
BSWL_170;?;50;8;0.4832;0.226;0;;;;R;;;;;;;;;;T;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;;;0
BSWL_171;?;50;8;0.4832;0.226;0;;;;R;;;;;;;;;;T;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;;;0
BSWL_172;?;50;8;0.4832;0.226;0;;;;R;;;;;;;;;;T;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;;;0
BSWL_173;?;50;6;0.4128;0.2084;0;;;;R;;;;;;;;;;T;R;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;;;0
BSWL_174;?;500;1;0.02368;0.01644;0;;;;R;;;;;;;;;;T;R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
BSWR_182;?;50;8;0.4832;0.226;0;;;;;;;;;;;;;;R;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
BSWR_183;?;50;8;0.4832;0.226;0;;;;R;;;;;;;;;;;T;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;;;0
BSWR_184;?;50;8;0.4832;0.226;0;;;;R;;;;;;;;;;;T;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;;;0
BSWR_185;?;50;8;0.4832;0.226;0;;;;R;;;;;;;;;;;T;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;;;0
BSWR_186;?;50;6;0.4128;0.2084;0;;;;R;;;;;;R;;;;R;T;;;;;;;;;;;;;;R;;;;;;;R;;;R;;;;;;;;;;;;;;0
BSWR_187;?;500;4;0.03424;0.01908;0;;;;R;;;;;;R;;;;;T;;;;;;;;;;;;;;;;;;;;;R;;;R;;;;;;;;;;;;;;0
CPLC_A1;?;100;7;0.224;0.1086;0;;;;;;;;;;;R;;;;;T;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;0
CPLC_196;?;10;2;1.36;0.866;0;;;;;;;;;;;;;;;;T;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;0
CPLC_197;?;10;2;1.36;0.866;0;;;;;;;;;;;;;;;;T;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;0
CPLC_198;?;10;1;1.184;0.822;0;;;;;;;;;;;;;;;;T;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;0
CPLC_199;?;10;1;1.184;0.822;0;;;;;;;;;;;;;;;;T;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;0
CPLC_200;?;10;1;1.184;0.822;0;;;;;;;;;;;;;;;;T;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;0
CPLC_201;?;20;1;0.592;0.411;0;;;;;;;;;;;;;;;;T;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;0
CPLC_202;?;20;1;0.592;0.411;0;;;;;;;;;;;;;;;;T;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;0
CPLC_203;?;100;7;0.224;0.1086;0;;;;;;;;;;;;;;;;T;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;0
CPLC_204;?;3000;5;0.00629333;0.00332667;0;;;;;;;;;;;;;;;;T;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;0
DOP_TCU_218;?;100;1;0.1184;0.0822;0;;;;;;;;;;;R;;;;;;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
DSMU_221;?;100;6;0.2064;0.1042;0;;;;;;;;;;;R;;;;;;;;;T;;;;;;;;;;;;;;;;R;;;R;;R;;;;;;;;;;;;0
DSU_224;?;20;1;0.592;0.411;0;;;;;;;;;;;R;;;;;;;;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
EBA_A1;?;10;7;2.24;1.086;0;;;;;;;;;;;;;;;;;;;;;;;T;;;;;;;;R;;;;;;;;;;;;;;;;;;R;;;;0
EBA_A3;?;10;5;1.888;0.998;0;;;;;;;;;;;;;;;;;;;;;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;0
EBA_A2;?;100;3;0.1536;0.091;0;;;;;;;;;;;R;;;;;;;;;;;;T;;;;;;;;R;;;;;;;;R;;;;;;;;R;;R;;;;0
ECM_A12;?;10;8;2.416;1.13;0;;;;;;;R;;;;;;;;;;;;;;;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ECM_A13;?;10;8;2.416;1.13;0;;;;R;;;R;;;R;R;;R;;;;;;;;;;;T;;;;;;;;;;;R;R;;;;;;;;;R;;;;;;;;0
ECM_A17;?;10;8;2.416;1.13;0;;;;;;;R;R;;;;;;;;;;;;;;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ECM_A8;?;10;8;2.416;1.13;0;R;;R;R;;R;R;R;R;R;R;;R;;;;;;R;R;;;;T;R;R;;;R;;;;;R;R;R;;;;R;R;R;R;;R;R;;R;R;;R;;0
ECM_A9;?;10;8;2.416;1.13;0;R;;R;R;;R;R;R;R;R;R;;;;;;R;;R;;;;;T;R;R;;;;;;R;;R;R;R;;R;R;;;;;;R;R;R;R;R;R;;;0
ECM_240;?;10;8;2.416;1.13;0;;;;;;;R;R;;;R;;R;;;;;;;;;;;T;;;;;;;;R;;R;;;;;R;;;;;;;R;R;;R;;;;0
ECM_241;?;20;8;1.208;0.565;0;;;;R;;;;;;R;;;;;;;;;;;;;;T;;;;;;;;;;;;R;;;R;;;;;;R;;;;;;;;0
ECM_242;?;20;8;1.208;0.565;0;;;;R;;;R;;;R;;;;;;;;;;;;;;T;;;;;;;;;;R;;R;;;R;;;R;;;R;R;;;;;;;0
ECM_243;?;100;8;0.2416;0.113;0;;;;R;;;R;;;;;;;;;;;;;;;;;T;;;;;;;;;;;;;;;R;;;;;;;R;R;;;;;;0
ECM_244;?;100;8;0.2416;0.113;0;R;;R;;;R;R;R;R;R;R;;;;;;;;R;;;;;T;;;;;R;;;;R;R;;R;;;R;;;;R;;;R;R;;;;;;0
ECM_245;?;100;8;0.2416;0.113;0;;;;R;;R;R;;R;;;;;;;;;;R;;;;;T;;;;;R;;;;R;;R;R;;;R;;;R;;;;R;R;R;R;;;;0
ECM_246;?;100;8;0.2416;0.113;0;;;;R;;;;;;;R;;;;;R;;;;;;;;T;;;;;;;;;;;;R;;;R;;;;;;;R;R;;;;;;0
ECM_247;?;100;8;0.2416;0.113;0;;;;R;;;R;R;;R;R;;;;;;;;R;;;;R;T;;;;;;;;;;;R;R;;;R;;;R;;;;R;R;;R;;;;0
ECM_248;?;100;8;0.2416;0.113;0;;;;R;;;R;R;;;R;;;;;;;;R;;;;;T;;;;;;;;;R;R;;R;;;R;;;R;;;;R;R;;R;;;;0
ECM_249;?;500;8;0.04832;0.0226;0;;;;;;;;;;;R;;;;;;;;;;;;;T;;;;;;;;;;R;;R;;;R;;;;;;;R;;;;;;;0
ECM_250;?;1000;4;0.01712;0.00954;0;;;;;;;;;;;;;;;;;;;;;;;;T;;;;;;;;;;;;R;;;R;;;;;;;R;;;;;;;0
ECM_251;?;10000;2;0.00136;0.000866;0;;;;;;;;;;;;;;;;;;;;;;;;T;;;;;;;;;;;;R;;;R;;;;;;;;;;;;;;0
ECM_252;?;0;2;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;T;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;0
EPS_A1;?;10;8;2.416;1.13;0;;;;R;;;;;;R;;;;;;;;;;;;;;;;T;;;R;;;;;;;R;;;;;;;;;;;;;;;;;0
EPS_R5;?;10;6;2.064;1.042;0;;R;;;;;;;;;;;;;;;;;;;;;;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;0
EPS_A3;?;10;6;2.064;1.042;0;;;;R;;;;;;R;;;;;;;;;;;;;;R;;T;;;R;;R;;;;;R;;;R;;;;;;R;R;R;;;;;;0
EPS_276;?;100;3;0.1536;0.091;0;;;;;;;;;;;R;;;;;;;;;;;;;;;T;;;R;;;R;;;;;;;;;;;;;;;;;;;;;0
ESCL_282;?;100;3;0.1536;0.091;0;;;;;;;;;;;;;;;;;;;;;;;;;;;T;;;;;R;;;;;;;;;;;;;;;;;;;;;0
